PARID,AGAPPL,ACRES
"K40000626560000","1108","18.73"
"K40000626600000","1108","60"
"K40000626680000","1108","38.19"
"K40000626760000","1368","87.884"
"K40000626800000","1368","18.186"
"K40000627600000","1976","70.8619"
"K40000631560000","2002","99.748"
"K40000632440000","999999","103.538"
"K40000632640000","1666","80"
"K40000632880000","1976","34.15"
"K40000632920000","1976","0.84"
"K40000633200000","1976","66.47"
"K40000634400000","2148","79.73"
"K40000634480000","2218","39"
"K40000634560000","1970","79"
"C13000136440000","3159","113.147"
"F20000319400000","762","11"
"B09000082480000","50","80"
"B09000082520000","50","60"
"B09000082640000","50","29.62"
"B09000082760000","50","79.549"
"B09000082800000","50","39.774"
"B09000082600000","989","16"
"B09000082680000","989","87.21"
"B09000082720000","989","9"
"B09000096080000","989","25.5"
"B09000096120000","989","12"
"B09000096160000","989","76.24"
"B09000099440000","1000","51.381"
"G25000391360200","999999","3.825"
"G25000391360400","1545","9.964"
"G25000391360600","1545","12.055"
"C13000144000000","2527","72.224"
"C13000143400000","2527","20"
"C13000143440000","2527","118.4"
"C13000143480000","2527","42.5"
"C13000143520000","2527","40"
"C13000143560000","2527","90"
"L41000659280000","2534","80"
"L41000659320000","2534","80"
"O49000806640000","416","80"
"O49000806680000","2083","87.12"
"O49000806760000","2460","80"
"O49000806800000","2161","83.5"
"O49000806720000","416","88"
"B07000067040000","1344","80"
"D17000245400000","1253","68.666"
"N46000761840100","8","11.433"
"J37000574200100","771","13.266"
"H26000434120000","824","20.532"
"C13000143680000","691","19.98"
"L41000649200000","641","48.364"
"D17000193040000","172","61.5"
"F20000307960100","873","0.556"
"F23000369440000","873","1.536"
"F20000311880000","2672","44.56"
"B09000082560000","50","39.775"
"E18000286040000","1858","12.25"
"E18000286080000","1858","2.75"
"F20000329680100","1814","14.663"
"L41000654920000","90","75.4"
"A01000006720000","2614","80"
"A04000033680000","550","39"
"A04000033720000","550","26.66"
"A04000034400000","550","79.5"
"A04000034440000","550","79.41"
"A04000034480000","550","20"
"E18000256320000","1611","45.554"
"I34000544000000","1048","80"
"G25000409640000","999999","20"
"H28000456080000","999999","40.877"
"H28000456160000","999999","20.41"
"L41000651520200","3179","3"
"L41000658680000","3179","51.1"
"F20000318520305","309","18.307"
"O49000792080000","2537","76.83"
"O49000792120000","2537","34.04"
"A02000018880400","2840","58.412"
"F20000318520701","2958","15"
"I35000562760000","453","41.16"
"I34000533800000","453","16.787"
"I35000562720100","453","2.394"
"I35000562720000","1191","51.274"
"H26000426120400","1023","52.806"
"G25000406560100","1041","40"
"G25000406600100","1041","75.141"
"D17000223880000","952","157.629"
"D17000223920000","952","45.145"
"O49000781800000","2988","35.981"
"E18000275120300","3096","30"
"A01000000120200","2142","35.724"
"A02000011320000","2142","17.834"
"C13000143720000","3001","95.135"
"E18000275120200","1110","23.043"
"G25000416720101","2268","2"
"N46000754520000","2412","16.558"
"L41000654400000","1380","71.044"
"L41000659920000","2391","75.777"
"L41000659960000","2391","29"
"A02000018880200","2074","28.007"
"G25000419080100","999999","79"
"G25000419120000","999999","9"
"C13000139320000","2510","77.332"
"D17000229760000","2265","39"
"F20000328120000","1321","28.215"
"J37000593920000","1154","63.491"
"D17000229840000","2265","77.788"
"D17000229880000","2265","37.52"
