PARID,AGAPPL,ACRES
"L41000649640000","1128","33.98"
"B09000087280400","1017","13"
"A02000021680200","621","10.495"
"D17000210400000","830","6.181"
"D17000210440000","830","59.114"
"D17000210480000","830","2.863"
"F20000313840000","830","23.401"
"C13000137320700","2304","15.87"
"B09000089840000","889","78.22"
"M44000705720000","859","150.595"
"G25000401080100","916","74.5"
"F22000349080500","630","18.21"
"H29000466160000","630","107"
"H29000466160100","630","40"
"C13000129680000","3104","17.086"
"M44000706760000","999999","54"
"G25000389200000","1669","40"
"G25000389240000","1669","58.684"
"N46000758680000","999999","71.706"
"N47000771920000","999999","22.683"
"J36000568920000","802","41.893"
"A02000017720100","950","35.6"
"B09000086200000","2016","10"
"H29000468760000","778","83.462"
"C13000135080000","1133","157.289"
"B07000066840000","924","61.11"
"B07000066880000","2227","80"
"B07000066920000","924","24"
"G25000404920000","1259","57.07"
"G25000404960000","1259","30"
"K39000613920000","1803","11.4"
"M45000734440000","1096","37.89"
"L42000674440000","2803","31.877"
"L41000658400000","2803","80"
"G25000411000000","2393","40"
"G25000411040100","2393","38"
"Q56030331720400","2843","23.436"
"G25000402880300","1885","39.08"
"K40000630400000","3036","57.433"
"K40000633000000","3036","35"
"N46000753200000","248","80"
"K40000614720100","885","79.113"
"N46000753320000","248","80"
"A02000011840000","2414","20"
"A02000011880000","2414","27.189"
"A02000011920000","2414","73.786"
"A02000011960000","149","32.91"
"A02000016400000","2414","11.76"
"A03000028480000","505","20"
"E18000277880000","1575","100"
"C13000145000000","1575","108.974"
"A02000015000000","1503","53.217"
"M44000707480000","999999","82.25"
"A02000021840000","3075","83.012"
"D17000214840000","1095","80"
"D17000214880000","1095","160"
"J37000587320000","2739","159.016"
"G25000399560300","2628","29.877"
"G25000412360000","2628","36.155"
"A03000028440000","223","133.366"
"H26000429560000","999999","21.923"
"H26000429640000","999999","36.283"
"H26000429680000","999999","122.771"
"O49000788440100","1071","77.63"
"O49000803040000","1071","75"
"O49000805800000","1071","71.739"
"O49000805840000","1071","40"
"J37000574640000","1158","28.94"
"J37000574680000","1158","28"
"J37000588240000","1158","14"
"J37000588280000","1158","45.5"
"J37000588360000","1158","25.701"
"I34000542640000","1023","39.08"
"B09000095320000","2967","9"
"B10000107760000","2967","35.281"
"B09000088920000","2967","13.209"
"B09000091840000","2967","7.402"
"B09000091880000","2967","40.598"
"I34000533360000","999999","30"
"I34000533480000","999999","33.997"
"I34000543040000","999999","16"
"G25000404800000","912","5.435"
"L41000647560000","326","15.629"
"L41000647640000","326","44"
"G25000402800500","148","34.988"
"H26000427560200","2528","55.338"
"H26000427600000","2528","18.319"
"H28000453280000","2984","0.25"
"H28000453320000","2984","76.85"
"H28000453200000","1237","80"
"H28000453240000","1237","80"
"F20000307600000","1903","127.133"
"F20000307640000","1903","48.853"
"H28000458160000","2012","44.29"
"H26000433840000","1109","100"
"H26000433880000","1109","138"
"H27000441960000","1109","20"
"F20000321280000","1249","78.76"
"F20000304840000","2479","35.742"
"H28000447040000","2479","46.508"
"K40000621680100","999999","60.198"
"C13000127680000","127","61"
"N46000742520000","999999","4.561"
"N47000769680000","999999","79.55"
"N47000769720000","999999","16"
"N47000769760000","999999","50.058"
"G25000402800000","2778","39.642"
"D17000193960000","2448","30"
"C13000127680100","1737","39"
"D17000221240000","2539","16.8"
"D17000221200000","1563","93.226"
"D17000214360000","1563","40.45"
"K40000639000000","1511","76.65"
"K40000639040000","1082","32.766"
"K40000638640000","1082","80"
"N46000752560000","438","90"
"O49000806080000","1230","40"
"C13000129080000","1587","3.89"
"C14000159720000","1587","4.424"
"I35000564240000","2423","115.57"
"B09000087880000","1019","3.9"
"A02000014800000","2313","14.463"
"F20000327640000","596","11.44"
"G25000414000200","399","3.285"
"I34000530320000","273","40"
"I35000563240000","3079","4.539"
"K40000626520000","1108","24.44"
"M43000693960000","2338","39.5"
"L41000659720000","1104","49.55"
"N46000756680000","573","34.99"
"H26000426400000","1337","30.11"
"B10000106600000","1510","15"
"A01000000120100","716","8.401"
"D17000235280000","1152","95.216"
"I34000550360000","1567","44.706"
"I34000529120200","1135","37.598"
"E18000252600200","2382","66.615"
"N46000756960000","1491","79.25"
"I34000556600000","2865","57.207"
"E18000265960000","2382","11.722"
"G25000415480000","999999","44.417"
"H28000458200000","2012","65.59"
"G25000416720103","2268","26.795"
"B09000100280000","1562","21"
"M44000717200000","2154","46"
"H28000455960000","2773","38.566"
"L41000644160000","1128","144.047"
"A03000028520000","505","44.05"
"A03000028560000","505","14.53"
"A03000028560100","505","5.47"
"E18000275880100","1650","38.062"
"E18000275920000","1650","39.225"
"E18000275920100","1650","3.447"
"B09000085920000","2943","24.999"
"E19000297800000","2516","157.365"
"H28000457520000","1928","69"
"H28000457560000","1928","27.25"
"J38000607080000","999999","51.93"
"D17000234480000","2010","72.25"
"D17000234520000","2010","37.631"
"D17000212080100","2010","19.18"
"D17000234560000","2010","6.647"
"E18000282640000","2058","72.9"
"E18000282680000","2058","80"
"O49000801840000","2081","14.215"
"C13000143320303","691","48.459"
"G25000414200000","1415","37.928"
"B09000086080000","1294","15"
"B09000086120000","1294","19"
"B09000086160000","1294","55"
"B10000106760000","1294","40.085"
"H26000434040000","2172","78.498"
"G25000400280000","2540","138.573"
"B07000065600000","368","40"
"C13000143040000","1315","185.809"
"N47000769520000","715","5.287"
"N47000769560000","715","8"
"N47000769600000","715","10"
"B09000098240300","995","39.908"
"B09000086960000","928","50.591"
"M45000734640000","1644","10.287"
"B09000085960000","2477","39.696"
"N46000754800100","3070","113.413"
"B09000100200000","1642","40"
"B09000100250000","1642","71.22"
"E18000292400000","2616","12.24"
"O49000807440000","1918","76.105"
"C13000144560000","146","104.677"
"O49000799680000","999999","47.135"
"O49000799720000","999999","64.686"
"J37000579640000","470","22.9"
"H26000424360000","2234","538.194"
"Q53041279000000","676","1.915"
"Q53041279040000","676","1.558"
"Q53041279080000","676","1.91"
"Q53041974320000","676","8.32"
"E18000279240000","1130","68.543"
"E18000267760000","2972","72.806"
"F20000321320000","1249","86.943"
"F20000306720000","833","71.878"
"O49000781400000","1251","60"
"O49000781440000","1251","40"
"O49000787480000","1251","39.72"
"B09000093560000","1388","17.984"
"A01000002600000","36","39.866"
"A01000002640000","36","39.28"
"A01000002680000","36","71.466"
"A01000002720000","36","40"
"A01000002440000","1283","38"
"A01000002520000","1283","60"
"A01000002560000","1283","40"
"K40000626000000","1287","116"
"K40000626040000","1287","40"
"I34000543640000","1023","89.119"
"C13000136840000","1292","65"
"C13000136880000","1292","99.999"
"G25000397960000","1023","68.168"
"K40000626120000","89","41"
"K40000626160000","1291","58.69"
"B08000092720000","1304","80"
"D17000211760000","77","77.45"
"N46000746160000","639","70"
"B09000093320000","1328","105.711"
"N46000751480000","1331","40"
"N46000751520000","1331","38.49"
"I35000562000000","376","41.169"
"I35000562040000","376","80"
"L41000652960000","2165","139.086"
"J37000591560000","2913","115.055"
"J37000581840100","1199","80.218"
"I34000544160000","1023","40"
"G25000406640000","1397","40"
"B07000073400000","2626","160"
"I34000545920000","1395","38.31"
"F20000308520000","536","75"
"C13000144840200","1768","41.662"
"M45000733040000","946","80"
"H26000431000000","1255","21.33"
"H26000431080000","1255","68.796"
"H26000431040000","1389","154.248"
"H26000430960000","999999","96.988"
"H26000434280200","3000","40.234"
"H26000437160200","3000","7.017"
"I34000528560000","134","80.75"
"F20000321440000","1252","17.995"
"E18000254680000","2741","75.422"
"C13000130560100","1013","53.753"
"C13000142880400","2920","52.973"
"D17000194480200","2586","52.924"
"E18000258880300","2787","15.01"
"F20000326200301","43","2.894"
"F20000323160200","1248","24"
"F20000323160300","599","79.884"
"G25000415440200","808","14.86"
"G25000402720200","503","36.031"
"P52000417560200","2177","13.541"
"H28000446440300","443","34.857"
"H28000446960100","250","59.582"
"H29000465480300","1227","43.983"
"I34000544160100","2684","40"
"J37000589560000","1146","15"
"J37000583400000","817","156.228"
"J37000599280100","358","75.956"
"J37000593640100","1739","8.942"
"J37000594720100","771","39.851"
"J37000594720200","771","39.851"
"J37000594720300","57","39.851"
"N46000746920000","248","95.127"
"N46000753160000","526","80"
"L41000644520200","940","39.83"
"L41000644480000","419","5.01"
"P52030406400000","2177","10"
"P51030518480000","2177","17.826"
"P54040551720000","2177","47.273"
"N46000753240100","2485","14.727"
"N46000759520100","2143","89.5"
"L41000645360204","673","61.111"
"L41000650640100","2636","56.313"
"L41000646160100","1394","8.53"
"A01000000880000","319","47.866"
"A01000000960000","319","79.68"
"A01000007000000","319","34"
"A01000003800000","319","80.84"
"A01000003840000","1486","80"
"G25000396560000","355","10"
"G25000396600000","355","77.74"
"G25000396640000","355","10"
"G25000396680000","1485","20"
"G25000396720000","1485","98.69"
"G25000396760000","1485","40"
"G25000396800000","1872","75.7"
"J37000594720000","57","39.851"
"N46000753800000","509","40"
"N46000753720000","509","78.5"
"G25000398320200","1507","25"
"B07000063320000","501","20.879"
"K40000634160200","393","30.267"
"F20000339200000","2624","36.736"
"K40000624680100","107","27.927"
"B09000083520000","287","20"
"F20000331800000","3158","37.002"
"I34000530040000","2473","22.493"
"I34000530000300","2473","100.246"
"I34000530040200","254","17.651"
"L41000645480000","279","80"
"E18000285200301","869","40.762"
"E18000265040000","361","93.627"
"B09000096360000","1890","15.954"
"M44000702520000","477","41.806"
"M45000733280000","477","156.773"
"M43000693720000","862","12.759"
"I34000544600000","1141","28.122"
"I34000544640000","1141","39.5"
"I34000544680000","1141","39.41"
"I34000532880000","1141","40"
"I34000532920000","1141","20"
"I34000532960000","1141","72.484"
"I34000533000000","1141","76.958"
"I34000544600100","1612","10.378"
"I34000532720000","1141","45.45"
"I34000532760000","1141","10.6"
"I34000532800000","1141","10"
"I34000532840000","1141","38.89"
"I34000552600000","1141","10.88"
"G25000402840000","2008","40"
"J37000579400000","380","80.931"
"N46000745040000","1043","30"
"N46000745080000","1043","116.72"
"D17000243640000","2445","113.295"
"K40000636520000","3032","14.6"
"D17000243680000","2445","69.648"
"D17000243720000","2445","20.234"
"C13000128720000","6","117.734"
"D17000243760000","2445","89.808"
"J37000599520000","605","86.383"
"K40000629440000","1542","59.33"
"K40000629480000","1542","22.5"
"L41000647520000","1542","77.859"
"O49000799360000","416","30"
"K40000619720000","2590","137.096"
"O49000799400000","416","69.882"
"K40000628800000","2590","79.91"
"K40000628880000","3166","39"
"K40000622720000","508","35.294"
"A02000019640000","2745","31.159"
"O49000795520000","1547","127.346"
"A01000003720000","2940","38.562"
"A01000003760000","2745","34"
"O49000795560000","1547","40"
"A02000023240000","2471","80"
"A02000023280000","2471","40"
"A04000033840000","2518","105"
"A02000023320000","3151","75.776"
"K40000629080000","1196","80"
"A02000023360000","3156","60"
"A02000023400000","1548","20"
"K40000629320000","1190","77.621"
"A02000023440000","1548","30.85"
"B09000088160000","2746","35.86"
"K40000619760000","1196","80"
"B09000092160000","2746","36.451"
"K40000629040000","1190","30"
"I34000537440200","2532","17.809"
"K40000629120000","1190","78.37"
"E18000290360100","2683","26"
"K40000629240000","1196","78.51"
"E18000288960000","1493","81.579"
"E18000289000000","1411","50.64"
"K40000625360000","999999","110"
"K40000627640000","999999","100"
"K40000627680000","1512","79.25"
"A01000006080000","2489","33.34"
"K40000627720000","999999","111.5"
"A01000006160000","2489","40"
"K40000627760000","248","13.94"
"A01000006200000","2489","158.196"
"A01000006240000","2489","80"
"K40000627840000","1512","60"
"A01000006280000","2489","152.098"
"A04000035440000","2489","40"
"A03000028640000","2047","84.69"
"M44000713560100","1681","75.72"
"L41000651240400","515","35.8"
"O49000790440101","1007","4.296"
"O49000790440102","1007","3.001"
"O49000801840200","2593","57.416"
"O49000801840300","999999","25"
"J37000573700000","2922","2.555"
"B07000066680000","530","93.197"
"B07000066720000","1733","38.957"
"B09000084760000","305","26.908"
"B09000084760100","237","22.092"
"B09000094320100","2112","7.07"
"B09000094320200","2112","6.477"
"B09000094320300","2112","2.097"
"B09000094320400","2463","20.914"
"B09000094320500","2463","6.481"
"B09000094320600","2463","4.935"
"M45000736600100","471","6.868"
"B09000098840200","471","66.113"
"B09000098840300","471","1.204"
"B09000095360200","684","31.254"
"I35000564040000","2367","4"
"N46000748240000","14","20"
"N46000748200000","14","20"
"F20000330680000","1898","76.525"
"C13000134280000","1180","14.51"
"A02000015400101","92","13.696"
"D17000247800000","2331","15"
"J37000575360000","116","24.14"
"J37000575400000","116","118.83"
"B09000083720000","1663","40"
"B10000108640000","1986","49.541"
"H26000426600000","988","68.66"
"L41000647120000","403","4.473"
"B09000085840000","452","19.92"
"H27000441720000","680","52.478"
"C13000134520000","712","37.424"
"E18000288800000","2486","25.316"
"N46000755680000","3113","79.32"
"L41000658880000","1500","36"
"L41000658920000","1500","40"
"B09000096640100","3066","39.25"
"N47000772000000","999999","69.417"
"D17000237840000","2156","14.72"
"F20000322200000","809","102.455"
"F20000322240000","809","20.124"
"A02000013720200","1234","51.651"
"B09000083800100","1952","10"
"N46000745120000","1043","10"
"N46000745000400","1043","62.572"
"N46000745000000","1103","5.365"
"L41000654600000","6","74.49"
"L41000654640000","6","94.549"
"L41000659120000","6","79.408"
"L41000651240100","1449","11.93"
"L41000648000000","666","79.132"
"C13000130200000","527","79"
"C13000130240000","527","19.5"
"K40000619880000","2569","59.642"
"G25000411240000","2535","30"
"G25000411520000","701","70"
"G25000413520000","2535","30"
"L41000648880200","1498","13.757"
"B07000063280000","1539","49.225"
"B07000063320400","1539","11.456"
"F20000310600000","668","22.7"
"B07000065520000","1197","44.474"
"E18000292120300","2602","34.53"
"E18000292120000","2602","22.788"
"D17000211720000","1253","81.995"
"B09000089360000","811","83.452"
"P51030936600000","999999","25.412"
"P51030936680000","999999","0.241"
"P51030936720000","999999","40"
"P51030936760000","999999","40"
"P51030936840000","999999","65.004"
"H28000453880000","179","61.914"
"H28000453960100","179","15.141"
"D17000200080400","1202","0.978"
"F20000314440000","999999","26.731"
"F20000314520000","999999","23.217"
"F20000314600000","1326","40.149"
"F20000314680000","1326","40.413"
"A02000024000000","2633","40.77"
"A02000024080000","2633","10.272"
"A02000024120000","2633","160.557"
"A02000024160000","2633","5.013"
"A03000028680000","2633","42.321"
"H28000455280200","2846","15.977"
"M44000705000100","1404","47.407"
"E18000268120000","1015","67.92"
"K40000631080000","1846","77.482"
"K40000631120000","1846","20"
"N46000764000000","2605","40"
"L41000652200000","1210","20"
"L41000652280000","1151","20.066"
"L41000652160000","1210","90"
"L41000652240000","1210","36.428"
"D17000245120000","1226","82.047"
"L41000660640000","2489","183.77"
"A04000035520000","2489","60.202"
"E18000255480000","296","153.234"
"O49000795760000","2981","96"
"E18000255520000","296","153.63"
"F20000337520000","2498","119.35"
"K40000628920000","3086","153.122"
"J37000587960100","1157","25.2"
"A02000017680000","1697","40"
"A02000023680000","1697","20"
"L41000654360000","1775","80"
"A02000023720000","1697","40"
"N47000769440000","509","30.999"
"K40000622680000","647","47"
"G25000407880000","1447","80"
"B09000101880000","1993","79.25"
"J37000595880400","2739","77.802"
"L41000651760000","1439","70.873"
"B10000107720000","2564","4.524"
"G25000408000000","1447","43.07"
"G25000408040000","1447","40.6"
"B10000107760100","2564","42"
"G25000415680000","1447","2.99"
"J37000575120000","855","29.556"
"E18000291800000","2018","158.65"
"K40000630840000","1794","15"
"K40000638960000","1914","40.16"
"E18000291760000","2316","83.712"
"K40000630960000","1794","25.93"
"K40000638800000","1938","134.089"
"K40000638840000","1329","104.309"
"K40000631000000","1794","40"
"K40000627160000","1914","40"
"K40000627200000","1914","33.85"
"L41000651760100","2323","51.287"
"G25000403000000","1097","80"
"I34000554280000","2293","23.73"
"I34000554320000","2293","60"
"G25000403040000","1097","40"
"I34000554360000","2293","98.593"
"I34000554440000","2293","29.88"
"A02000019800000","2178","28.683"
"O49000807400000","2619","40"
"E18000277040000","1571","98.323"
"L41000661080100","2545","38.923"
"E18000292680000","1278","36.935"
"E18000292720000","2709","39.37"
"E18000292760000","2709","22.108"
"E18000277080000","1571","80"
"E18000288560000","1278","80"
"E18000277120000","689","47.556"
"E18000288600000","1278","3.13"
"E18000292920000","1278","40"
"N46000764080000","1593","77.105"
"A02000018680400","2689","14.683"
"B09000094320700","2667","15.875"
"C13000131960200","745","19.85"
"C13000131960300","765","26.112"
"A02000018480100","585","20.001"
"A02000018480200","999999","113.786"
"A02000018080203","2970","12.712"
"E18000274200100","1700","11.832"
"K39000611920000","230","57.991"
"D17000237960100","929","4.868"
"F20000331800500","2100","34.986"
"F20000320960100","629","0.653"
"H26000429040102","2726","20.005"
"H28000455480100","1023","39.119"
"N46000757920303","509","18.078"
"N46000747720100","858","13"
"H28000457280400","688","74.022"
"K40000622440200","248","54.732"
"K39000611520100","63","74.327"
"I34000543400100","1185","7.95"
"I34000549040100","587","4.7"
"O49000799640101","3144","5.021"
"M45000737160101","2779","21.5"
"M45000737400400","1733","11.502"
"M44000728040300","3123","29.435"
"L41000651520800","1555","20.826"
"J38000606320100","2283","24.353"
"L41000651400200","1172","89.451"
"J37000575480100","591","9"
"L41000661080101","1452","44.639"
"H26000424920000","377","21.083"
"F20000316240100","442","4.01"
"B09000092320000","1318","0.25"
"O49000799240300","2073","2.755"
"P51040507320000","1176","0.592"
"J37000587480000","1301","18.093"
"N47000771360000","1490","10.57"
"N47000771400000","1490","6.76"
"E18000289120201","86","33.388"
"I35000561680000","2998","72.75"
"G25000415440000","2474","20.43"
"C13000143280000","2613","80"
"B10000107000000","2305","51.43"
"K40000634200000","3078","79.398"
"K40000634240000","3078","107.666"
"K40000634640000","213","40"
"A02000023480000","129","47.65"
"A02000023520000","129","25.68"
"A02000011680300","2283","16.245"
"A02000011680400","2283","16.245"
"C13000134160000","2908","48"
"C13000142120000","2194","117.227"
"M44000727280000","807","17.64"
"M44000727320000","807","55"
"M44000727360000","807","24.48"
"J37000584880200","26","69.628"
"J37000588960000","26","98.673"
"O49000781040000","2441","66.478"
"O49000781360000","220","32.669"
"O49000781600000","220","66.103"
"A01000001640000","653","39"
"O49000798280000","1802","105.467"
"D17000189120000","191","39.995"
"E18000292040000","191","38.939"
"E18000292080000","191","40"
"G25000402680000","1485","21.017"
"H28000446280000","75","57.42"
"L41000647320000","409","49.5"
"D17000190040000","999999","19.382"
"D17000190080000","999999","48.044"
"M45000734920100","88","39"
"H28000447400000","97","88.5"
"G25000390800000","97","12.09"
"G25000390840000","97","27.1"
"G25000390880000","97","40.08"
"G25000390920000","97","18.7"
"G25000391000000","97","52.22"
"G25000391040000","97","24"
"G25000391080000","97","40"
"G25000391120000","97","58.724"
"G25000397600000","97","37.024"
"G25000400200102","97","19.72"
"E18000252720000","940","136.055"
"F20000302600000","729","80"
"K40000619160000","111","15"
"D17000190800000","1533","79"
"J38000607120000","1533","101.833"
"C13000144760000","2232","33.035"
"N46000759600000","2744","100"
"E18000293320000","999999","75.798"
"C13000145120000","1944","25.59"
"C13000145160000","1944","83.19"
"C13000145200000","1944","163.901"
"C13000145240000","1944","5.9"
"C13000145280000","1944","41.75"
"C13000145320000","1944","5.56"
"E18000277200000","1571","40"
"E18000277240000","1571","57.3"
"E18000277400000","992","48.92"
"A01000006800100","2759","156.729"
"G25000419200000","2700","45.108"
"H29000468920000","3152","75.435"
"L41000654200000","2446","73.969"
"O49000796360000","1968","86.6"
"O49000798320000","1968","15.217"
"O49000798360000","1968","1.06"
"O49000807560000","1968","140"
"O49000807600000","1968","30"
"O49000807680000","1968","20"
"J37000575520000","999999","88.994"
"O49000807720000","1968","40"
"O49000807760000","1968","80"
"E18000277440000","992","26.82"
"E18000277480000","992","71"
"E18000277520000","999999","8"
"E18000277640000","999999","95"
"E18000277680000","999999","40"
"E18000277760000","999999","12"
"J37000583240000","1601","76.22"
"G25000406560000","757","40"
"G25000406600000","757","80"
"J37000591880000","999999","11"
"J37000591920000","999999","38.93"
"J37000591960000","999999","20"
"J37000592000000","999999","20"
"J37000592040000","999999","40"
"J37000592080000","1393","38.75"
"K40000630040000","1490","15.1"
"K40000630080000","1490","0.72"
"I33000506600400","1874","19.733"
"M45000735080000","1640","78.81"
"G25000405400000","999999","83.491"
"G25000405640000","999999","83.491"
"H28000453080000","1643","58.5"
"H28000460000500","3064","17.327"
"H28000455400000","1643","6.443"
"D17000228160000","32","40"
"D17000228240000","32","42.37"
"D17000228280000","32","53.39"
"D17000241880200","32","70.467"
"A01000003600000","2745","46"
"A01000003680000","2745","35.156"
"A02000019600000","45","76.312"
"D17000228440000","1412","28.3"
"M44000703440000","2694","20.08"
"M44000720440200","3131","17.106"
"J37000573680000","2922","37.523"
"L41000655760000","1093","57.609"
"L41000654040000","1093","3.848"
"D17000249280000","1821","5"
"A02000021120100","3137","12.642"
"F20000322800100","677","49.045"
"F20000332160100","2359","80"
"M44000711760200","3116","116.475"
"N46000748720100","658","3.835"
"N47000770360300","3155","50"
"N47000770360200","3148","23.764"
"N47000770360400","2049","48.709"
"N47000770360401","2049","10.992"
"E18000283880100","2154","20.001"
"E18000281680300","3150","37.39"
"E18000281680200","62","14.987"
"M44000713720100","2990","67.754"
"E18000278960100","2990","6.12"
"K40000626880100","6","55"
"E18000290520300","469","3.728"
"C13000139040100","3138","52.37"
"C13000144640100","3161","70.8283"
"D17000245200300","3147","11.377"
"N46000745760300","70","18.493"
"N46000745760500","70","19.296"
"L41000650920100","389","23.911"
"B07000063360100","2270","18.032"
"B09000098080200","2276","6"
"N46000747480200","2506","37.231"
"M44000720800100","384","15.628"
"B09000084720200","237","5.23"
"O49000790280300","1007","24.344"
"O49000790720300","999999","29.861"
"J37000582480100","45","134.248"
"J37000575240100","999999","77.639"
"I34000537680400","334","24.858"
"D17000212240000","999999","0.9"
"E18000275360302","1731","21.671"
"L41000645840201","756","35.732"
"L41000644400000","112","108.9"
"J38000606960000","29","153.62"
"J37000574760000","999999","76.649"
"J37000579160000","78","88.71"
"J38000606360000","78","30"
"L41000646360000","78","95"
"I34000528320000","114","77.37"
"I34000528360000","114","40"
"J37000574800000","116","46.9"
"J37000574880000","116","19"
"J37000574920000","116","23"
"J37000575320000","116","12"
"J37000575480000","116","43"
"O49000784680000","301","102.611"
"C13000133680000","979","60"
"O49000791080000","979","56.85"
"D17000191920000","133","79.5"
"D17000191960000","133","59.56"
"D17000192000000","133","37.29"
"D17000192040000","133","4.9"
"D17000207560000","133","43.08"
"D17000217880000","133","30.14"
"D17000191880000","133","57.208"
"D17000239440000","133","80.5"
"D17000239480000","133","57.7"
"L41000650880000","133","2"
"L41000650920000","133","122.442"
"D17000196800000","787","55.254"
"D17000196800600","787","6.875"
"D17000192240000","1370","16.3"
"L41000653000000","1360","18.45"
"J37000575560000","2422","30"
"J37000575600000","2422","40"
"J37000575640000","2422","10"
"J37000575680000","2422","40"
"J37000575720000","2422","60"
"J37000575760000","2422","40"
"J37000575800000","2422","10"
"J37000575840000","2422","18"
"J37000576000100","2428","38.366"
"J37000587840000","2422","50.05"
"J37000587880000","2422","23.912"
"J37000581800000","2428","40"
"O49000782760000","1168","59.365"
"O49000782800100","1168","7.25"
"O49000782880000","1168","48.35"
"O49000782880100","1168","72.56"
"O49000782920100","1527","49.783"
"O49000782960000","1168","40"
"L41000644760000","170","60"
"N46000764280300","620","40.621"
"I34000529080000","188","40.66"
"M43000690920000","2181","26.969"
"M44000701040000","2181","23.434"
"D17000213440000","2448","43.94"
"M45000736760000","119","80"
"M45000736800100","763","55.544"
"B09000083360000","195","36.05"
"K40000626080000","2233","25.256"
"C13000128640000","999999","10.309"
"I34000548200000","3173","14.223"
"I34000536840000","999999","38.044"
"M44000700920000","2634","40"
"M44000713200000","1681","85.387"
"C13000136200000","1338","21.949"
"C13000136280000","1338","117.034"
"I34000544320000","1456","56.344"
"G25000405440000","999999","26.646"
"D17000233960000","1634","76.44"
"L41000656520000","1499","64.159"
"M44000722680000","2562","80"
"M45000736160000","2562","79"
"L41000658320000","2125","46"
"L41000658360000","2125","39.17"
"E18000272800701","2154","15.125"
"M44000701000000","2154","56.335"
"C13000130880000","597","66"
"E18000253680000","2154","24.472"
"E18000281920200","2154","17.173"
"M44000717240000","2154","14.435"
"C13000130920000","597","33.6"
"E18000286000000","552","100"
"M44000723280000","703","98.897"
"E18000256000000","552","37.586"
"M44000723320000","703","58"
"O49000797360000","876","41.55"
"D17000237960000","929","59.072"
"O49000797400000","876","23.03"
"E18000285000000","1441","108.157"
"C13000139840000","1760","74.186"
"E18000285040000","1441","54.461"
"G25000395280000","2203","80"
"O49000805160000","874","36.868"
"G25000395320000","2203","80"
"O49000802200000","2755","12.92"
"G25000402120000","2222","7.92"
"G25000415560000","2222","32.167"
"O49000802240000","2755","12.68"
"N46000760760000","2605","40"
"K40000635600000","3129","78.647"
"H26000432640000","1772","19.421"
"K40000635640000","999999","35.148"
"K40000635680000","3129","81.44"
"K40000635720000","3129","74.36"
"F21000344240300","1482","1.085"
"F20000328960000","1900","44.224"
"F20000322200600","809","1.827"
"O49000783920100","524","36.563"
"L41000645240000","1683","166.999"
"L41000645480100","279","80"
"L41000647040000","2699","40"
"L41000649080000","314","55.231"
"L41000652600000","1309","49.554"
"L41000654800000","1625","36.223"
"L41000654840000","1625","35.6"
"M44000699000000","1219","22.48"
"M44000699040100","1404","18.499"
"M44000701760000","298","35"
"M44000701800000","298","91.874"
"M45000733480100","2033","39.922"
"M45000734000000","1036","0.5"
"M45000734040000","1038","79.976"
"M45000735040000","1640","49.6"
"M45000736840000","119","40"
"N46000743800000","153","40.053"
"N46000749480000","3120","48.933"
"N46000749520000","3120","90.373"
"N46000751840000","683","35.96"
"N46000751880000","683","21"
"N46000762640000","1894","40"
"N46000762920000","1580","55.532"
"N46000762960000","1580","9.784"
"N47000772080000","1979","32.5"
"N47000772120000","1979","80"
"O49000782080000","52","13"
"O49000783120000","1854","49.57"
"O49000803360000","522","69.572"
"B06000059080200","1617","37.219"
"B09000082880400","1915","18.119"
"C13000129640100","1170","20.36"
"C13000134480100","168","38"
"C14000153920100","2482","11.886"
"D17000218000100","498","14.383"
"D17000216600200","142","13.38"
"D17000216680100","142","13.82"
"H28000459240100","990","27"
"G25000398000000","1869","40"
"G25000403320000","1869","39"
"E18000257160300","2482","19.406"
"A02000012920000","234","3"
"A02000012960000","234","80"
"A02000013000000","234","81.54"
"A02000013040000","559","73.18"
"A01000005040000","234","80"
"J37000577440000","234","160.48"
"L41000655360000","1651","46.39"
"J37000590240000","359","100.5"
"J37000590320000","359","27"
"G25000391400000","399","19"
"G25000391440200","399","15.11"
"L41000658680100","218","23.112"
"G25000396480000","2794","39.002"
"E18000258360000","2337","159.38"
"F20000308240000","1468","50"
"F20000308280000","1468","80"
"N46000745800000","594","50"
"A02000015320000","612","49"
"A02000018080300","612","56.19"
"D17000203560000","999999","26.05"
"D17000203600000","999999","147"
"D17000221720000","999999","30.79"
"C13000131440000","2003","88.519"
"E18000261360000","73","80"
"E18000261400000","73","79.74"
"K40000627360100","1483","20.983"
"K40000623080000","999999","40.771"
"K40000626800100","999999","136.633"
"F20000312360000","744","40"
"I34000530200000","744","77.04"
"I34000530280000","744","18.88"
"F20000312320000","2905","105"
"F20000304120000","759","160"
"F20000304280000","443","59.973"
"B09000089440000","861","40"
"B09000089480000","861","37.317"
"B09000089520000","861","31"
"B09000089560000","861","31"
"O49000787160000","1187","74.929"
"O49000790400000","1007","35.278"
"O49000790480000","2108","79"
"N46000751160000","1285","128.55"
"G25000400840000","941","40"
"G25000400960000","941","48.803"
"H28000451720000","941","40"
"H28000451800000","941","31.454"
"I34000554120000","2264","54.055"
"D17000214000000","1072","86.049"
"D17000214040000","1072","78.765"
"H26000428680300","553","70.145"
"F20000322200200","553","4.467"
"F20000322200300","553","7.122"
"F20000322200400","553","22.784"
"D17000215960000","1144","47.961"
"C13000128680000","1714","27.226"
"O49000783640000","2736","71.562"
