OBJECTID,Parcel_AGAPPID_csv_AGAPPL,DISSOLVE_landuse_parcel_union_LAND_USE,SUM_SUM_DISSOLVE_landuse_parcel_union_SUM_ACREAGE,Shape_Length,Shape_Area
663,1092,Conservation Program Designated,1.4,3710.408874,60983.82698
664,1106,Conservation Program Designated,3.92,8798.912334,170752.1294
665,1108,Conservation Program Designated,5.25,14896.99815,228671.4378
666,1113,Conservation Program Designated,1.6,4223.255104,69698.54707
667,1115,Conservation Program Designated,7.81,12084.13635,340209.8449
668,1117,Conservation Program Designated,2.961,6849.752552,128980.4921
669,1120,Conservation Program Designated,1.13,2968.999054,49222.97282
670,1136,Conservation Program Designated,9.458,5353.209013,411975.118
671,1138,Conservation Program Designated,2.98,5270.652321,129810.7571
672,1139,Conservation Program Designated,7.97,6002.180932,347173.1343
673,1142,Conservation Program Designated,39.8,19409.69167,1733689.889
674,1146,Conservation Program Designated,3.63,3451.419564,158123.1732
675,1161,Conservation Program Designated,0.5,1509.366426,21782.18749
676,1162,Conservation Program Designated,9.58,26945.52718,417308.2148
677,1167,Conservation Program Designated,4.39,12046.89639,191232.7424
678,1175,Conservation Program Designated,11.67,31146.69449,508353.0722
679,1179,Conservation Program Designated,0.5,2153.734745,21783.10165
680,1206,Conservation Program Designated,2.44,3615.053023,106284.5246
681,1217,Conservation Program Designated,4.8,11722.84694,209091.2735
682,1220,Conservation Program Designated,24.4,9059.262097,1062871.471
683,1226,Conservation Program Designated,4.59,2326.421341,199940.4279
684,1229,Conservation Program Designated,1.44,4313.07616,62727.63967
685,1240,Conservation Program Designated,19.499,6610.537494,849354.9074
686,1243,Conservation Program Designated,13.881,18401.69457,604642.6415
687,1251,Conservation Program Designated,1.46,2300.249705,63600.23975
688,1253,Conservation Program Designated,4.29,6632.870778,186873.7127
689,1266,Conservation Program Designated,0.21,569.8342918,9147.616958
690,1267,Conservation Program Designated,32.6,5228.570976,1420056.979
691,1275,Conservation Program Designated,0.418,2031.423215,18213.13543
692,1284,Conservation Program Designated,4.04,1717.584358,175982.4023
693,1287,Conservation Program Designated,128.821,11998.71632,5611402.257
694,1290,Conservation Program Designated,64.32,14342.72222,2801784.759
695,1294,Conservation Program Designated,4.44,13165.68492,193412.1319
696,1297,Conservation Program Designated,3.2,2785.040511,139394.8028
697,1307,Conservation Program Designated,40.971,33752.4034,1784698.177
698,1311,Conservation Program Designated,8.6,9023.051888,374620.3315
699,1318,Conservation Program Designated,3.2,9307.785347,139393.2158
700,1333,Conservation Program Designated,6.475,11435.20908,282059.8651
701,1334,Conservation Program Designated,7.3,2467.361196,317988.039
702,1337,Conservation Program Designated,3.3,8482.635164,143754.0313
703,1348,Conservation Program Designated,2.92,2924.27893,127197.4228
704,1354,Conservation Program Designated,1.75,3952.282538,76244.19755
705,1356,Conservation Program Designated,30.8,8948.660567,1341648.109
706,1358,Conservation Program Designated,20.841,8977.18359,907845.9252
707,1359,Conservation Program Designated,4.79,2662.399504,208652.3513
708,1362,Conservation Program Designated,1.35,4331.76412,58809.70653
709,1376,Conservation Program Designated,1.97,2913.401363,85816.25931
710,1385,Conservation Program Designated,12.028,18524.23,523956.7136
711,1388,Conservation Program Designated,2.66,5475.690014,115873.2637
712,1389,Conservation Program Designated,9.02,6803.955965,392911.3815
713,1391,Conservation Program Designated,0.9,2326.327844,39204.63681
714,1393,Conservation Program Designated,0,10.78901346,1.592157468
715,1398,Conservation Program Designated,5.979,5572.11608,260456.457
716,1399,Conservation Program Designated,33.75,8358.067363,1470150.4
717,1400,Conservation Program Designated,3.8,3142.664558,165529.88
718,1417,Conservation Program Designated,0.55,899.5720639,23958.02101
719,1418,Conservation Program Designated,1.18,3233.304635,51401.26013
720,1421,Conservation Program Designated,1.451,2064.313915,63202.82372
721,1426,Conservation Program Designated,0.452,1450.673541,19679.18171
722,1438,Conservation Program Designated,1.8,3790.908968,78408.93485
723,1447,Conservation Program Designated,6.52,15076.50952,284013.965
724,1452,Conservation Program Designated,59.9,26556.2241,2609253.834
725,1458,Conservation Program Designated,0.87,3169.109879,37896.98652
726,1464,Conservation Program Designated,4.7,7079.559488,204731.9396
727,1483,Conservation Program Designated,4.12,3774.656024,179470.574
728,1486,Conservation Program Designated,5.15,5123.002359,224336.0618
729,1507,Conservation Program Designated,3.6,4771.780112,156816.1987
730,1509,Conservation Program Designated,3.67,2792.350208,159867.8618
731,1523,Conservation Program Designated,4.31,9447.094816,187744.9378
732,1530,Conservation Program Designated,2.99,4350.91328,130243.5206
733,1532,Conservation Program Designated,4.93,6086.700324,214754.5186
734,1533,Conservation Program Designated,6.48,5705.57634,282285.2137
735,1534,Conservation Program Designated,1.9,5244.399584,82764.19812
736,1536,Conservation Program Designated,5.24,4378.645595,228255.701
737,1539,Conservation Program Designated,1,1814.892954,43559.78875
738,1566,Conservation Program Designated,14.02,8516.669003,610708.975
739,1568,Conservation Program Designated,1.8,4942.32139,78408.00577
740,1573,Conservation Program Designated,15.25,5242.578311,664290.141
741,1583,Conservation Program Designated,4.51,4513.691302,196461.3294
742,1595,Conservation Program Designated,0.75,1553.690348,32669.94387
743,1598,Conservation Program Designated,1,3752.210882,43560.36048
744,1601,Conservation Program Designated,4.201,9311.549145,182974.6858
745,1602,Conservation Program Designated,1.55,5340.717847,67518.50154
746,1604,Conservation Program Designated,16.336,5971.094138,711583.8632
747,1606,Conservation Program Designated,1.92,5658.822281,83637.00391
748,1609,Conservation Program Designated,9.541,5150.039569,415599.163
749,1618,Conservation Program Designated,3.3,7335.46137,143754.6286
750,1620,Conservation Program Designated,0,26.42455104,12.81151405
751,1625,Conservation Program Designated,21.481,27815.58271,935688.9439
752,1643,Conservation Program Designated,0.71,2173.057854,30927.70569
753,1647,Conservation Program Designated,3.66,11705.61359,159431.7972
754,1656,Conservation Program Designated,1.314,2730.268786,57239.80531
755,1657,Conservation Program Designated,74.784,27028.48256,3257570.255
756,1659,Conservation Program Designated,10.071,13346.86773,438688.6901
757,1663,Conservation Program Designated,6.38,9427.604972,277916.7976
758,1668,Conservation Program Designated,17.6,18500.36089,766659.5722
759,1669,Conservation Program Designated,1.93,5070.301083,84070.625
760,1672,Conservation Program Designated,1.58,4299.841568,68826.71832
761,1677,Conservation Program Designated,2.18,5354.730902,94960.5807
762,1683,Conservation Program Designated,1.891,4755.08174,82365.39284
763,1684,Conservation Program Designated,12.718,9113.089168,553985.5859
764,1691,Conservation Program Designated,6.05,4360.342004,263537.9457
765,1696,Conservation Program Designated,25.991,9568.906904,1132172.228
766,1706,Conservation Program Designated,43.05,14689.55549,1875262.662
767,1707,Conservation Program Designated,2,1838.90802,87120.25054
768,1716,Conservation Program Designated,7.9,6175.415551,344124.9401
769,1720,Conservation Program Designated,1.3,1332.513014,56627.96686
770,1724,Conservation Program Designated,33.34,4849.336165,1452289.392
771,1726,Conservation Program Designated,2.5,7061.94163,108899.5823
772,1730,Conservation Program Designated,11.49,8039.889403,500522.5298
773,1731,Conservation Program Designated,3,2485.971933,130680.0934
774,1734,Conservation Program Designated,0.4,839.5840573,17425.05967
775,1740,Conservation Program Designated,19.6,24782.22504,853759.0051
776,1743,Conservation Program Designated,2.2,5490.037889,95835.01733
777,1746,Conservation Program Designated,3,4581.676101,130678.9212
778,1762,Conservation Program Designated,2.48,5278.803224,108029.8596
779,1763,Conservation Program Designated,1.48,3900.573259,64469.61721
780,1764,Conservation Program Designated,5.81,2282.847827,253083.2893
781,1768,Conservation Program Designated,1.3,2720.770958,56627.04602
782,1776,Conservation Program Designated,36.45,10405.19725,1587759.609
783,1781,Conservation Program Designated,11.3,14961.72798,492228.1224
784,1783,Conservation Program Designated,1.73,4281.121133,75360.51225
785,1785,Conservation Program Designated,1.901,7441.62782,82806.27586
786,1786,Conservation Program Designated,9.32,2901.356043,405977.774
787,1787,Conservation Program Designated,3.07,6268.0222,133730.4564
788,1796,Conservation Program Designated,2.5,3152.07916,108916.6799
789,1797,Conservation Program Designated,4.58,2708.010983,199505.0803
790,1804,Conservation Program Designated,3,10433.54788,130680.2074
